2025-12-15 02:15:00,002 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00042654 to staging bucket at staging/from_20250506_to_20250730/ADJ-00042654.html.
2025-12-15 02:15:00,005 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00042654 into staging collection.
2025-12-15 02:15:00,013 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00052943.
2025-12-15 02:15:00,018 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00052943 to staging bucket at staging/from_20250506_to_20250730/ADJ-00052943.html.
2025-12-15 02:15:00,019 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00052943 into staging collection.
2025-12-15 02:15:00,031 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00053929.
2025-12-15 02:15:00,037 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00053929 to staging bucket at staging/from_20250506_to_20250730/ADJ-00053929.html.
2025-12-15 02:15:00,038 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00053929 into staging collection.
2025-12-15 02:15:00,044 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00003130.
2025-12-15 02:15:00,050 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00003130 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00003130.html.
2025-12-15 02:15:00,051 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00003130 into staging collection.
2025-12-15 02:15:00,059 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00003207.
2025-12-15 02:15:00,064 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00003207 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00003207.html.
2025-12-15 02:15:00,066 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00003207 into staging collection.
2025-12-15 02:15:00,072 | INFO | HTML Transformation: Applied HTML cleaning for item ID EDA2550.
2025-12-15 02:15:00,077 | INFO | File Uploaded to Staging: Uploaded item ID EDA2550 to staging bucket at staging/from_20250506_to_20250730/EDA2550.html.
2025-12-15 02:15:00,078 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID EDA2550 into staging collection.
2025-12-15 02:15:00,093 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00045566.
2025-12-15 02:15:00,100 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00045566 to staging bucket at staging/from_20250506_to_20250730/ADJ-00045566.html.
2025-12-15 02:15:00,101 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00045566 into staging collection.
2025-12-15 02:15:00,124 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00050986.
2025-12-15 02:15:00,127 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00050986 to staging bucket at staging/from_20250506_to_20250730/ADJ-00050986.html.
2025-12-15 02:15:00,128 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00050986 into staging collection.
2025-12-15 02:15:00,136 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00055484.
2025-12-15 02:15:00,141 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00055484 to staging bucket at staging/from_20250506_to_20250730/ADJ-00055484.html.
2025-12-15 02:15:00,142 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00055484 into staging collection.
2025-12-15 02:15:00,156 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051379.
2025-12-15 02:15:00,162 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051379 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051379.html.
2025-12-15 02:15:00,163 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051379 into staging collection.
2025-12-15 02:15:00,170 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00046528.
